conference,title,writer,year,citations,url,paper ID,snippet
Meeting of the Association for Computational Linguistics (ACL),Machine_Translation_and_the_World_Wide_Web,H Somers,2007,7,https://link.springer.com/chapter/10.1007/1-4020-5833-0_11,11745402448243046123,"This paper is an attempt to investigate whether a computer is capable of finding similar information in structurally different texts, as people do it, without relying on lexical matching and without guessing the meaning of sentences based on word cooccurrence. Considered …"
Meeting of the Association for Computational Linguistics (ACL),Computational_semantic_detection_of_information_overlap_in_text,J Taylor,2010,6,https://escholarship.org/content/qt4q4751qz/qt4q4751qz.pdf,14456016043432361886,"Sentence similarity computation is an increasingly important task in applications of natural language processing such as information retrieval, machine translation, text summarization and so on. From the viewpoint of information theory, the essential attribute of natural …"
Meeting of the Association for Computational Linguistics (ACL),Sentence_similarity_computational_model_based_on_information_content,"H Wu, H Huang",2016,7,https://www.jstage.jst.go.jp/article/transinf/E99.D/6/E99.D_2015EDP7474/_article/-char/ja/,4517859731147383982,"Abstract Traditionally, External Plagiarism Detection has been carried out by determining and measuring the similar sections between a given pair of documents, known as source and suspicious documents. One of the main difficulties of this task resides on the fact that not …"
Meeting of the Association for Computational Linguistics (ACL),Towards_document_plagiarism_detection_based_on_the_relevance_and_fragmentation_of_the_reused_text,"F Sánchez-Vega, L Villaseñor-Pineda…",2010,6,https://link.springer.com/chapter/10.1007/978-3-642-16761-4_3,15158515373071152177,"We present various visualizations for the Text Re-use found among texts of a collection to support answering a broad palette of research questions in the humanities. When juxtaposing all texts of a corpus in form of tuples, we propose the Text Re-use Grid as a …"
Meeting of the Association for Computational Linguistics (ACL),Designing_close_and_distant_reading_visualizations_for_text_re-use,"S Jänicke, T Efer, M Büchler…",2014,7,https://link.springer.com/chapter/10.1007/978-3-319-25117-2_10,16540971797694609527,"Pre-requirements specification tracing concerns the identification and maintenance of relationships between requirements and the knowledge and information used by analysts to inform the requirements' formulation. However, such tracing is often not performed as it is a …"
Meeting of the Association for Computational Linguistics (ACL),Using_pre-requirements_tracing_to_investigate_requirements_based_on_tactic_knowledge.,"A Stone, P Sawyer",2006,7,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.131.4478&rep=rep1&type=pdf,10381258347435108556,"Computing text similarity is a foundational technique for a wide range of tasks in natural language processing such as duplicate detection, question answering, or automatic essay grading. Just recently, text similarity received wide-spread attention in the research …"
Meeting of the Association for Computational Linguistics (ACL),A_Composite_Model_for_Computing_Similarity_Between_Texts,D Bär - 2013 - tuprints.ulb.tu-darmstadt.de,2013,5,http://tuprints.ulb.tu-darmstadt.de/id/eprint/3641,12626683369498084968,"Objective We aim to identify duplicate pairs of Medline citations, particularly when the documents are not identical but contain similar information. Materials and methods Duplicate pairs of citations are identified by comparing word n-grams in pairs of documents …"
Meeting of the Association for Computational Linguistics (ACL),Comparing_Medline_citations_using_modified_N-grams,"RMA Nawab, M Stevenson…",2014,5,https://academic.oup.com/jamia/article-abstract/21/1/105/693663,16653726998062332946,"Most of the existing plagiarism detection systems compare a text to a database of other texts. These external approaches, however, are vulnerable because texts not contained in the database cannot be detected as source texts. This paper examines an internal plagiarism …"
Meeting of the Association for Computational Linguistics (ACL),Using_style_markers_for_detecting_plagiarism_in_natural_language_documents,M Kimler - 2003 - diva-portal.org,2003,5,https://www.diva-portal.org/smash/record.jsf?pid=diva2:3236,7656774032655338446,"Several methods have been proposed for determining plagiarism between pairs of sentences, passages or even full documents. However, the majority of these methods fail to reliably detect paraphrase plagiarism due to the high complexity of the task, even for human …"
Meeting of the Association for Computational Linguistics (ACL),Paraphrase_plagiarism_identification_with_character-level_features,"F Sánchez-Vega, E Villatoro-Tello…",2019,12,https://link.springer.com/article/10.1007/s10044-017-0674-z,10017641813705398677,"Plagiarism is on the rise because of the easy access to information through World Wide Web. Web pages are growing in the internet on daily basis. Researchers want to be well connected globally to popularize their ideas. Therefore, allowing download of research …"
