conference,title,writer,year,citations,url,paper ID,snippet
VLDB,Including_group-by_in_query_optimization,"S Chaudhuri, K Shim",1994,361,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.33.1669&rep=rep1&type=pdf,271103950934645112,"In existing relational database systems, processing of group-by and computation of aggregate functions are always postponed until all joins are performed. In this paper, we present transformations that make it possible to push group-by operation past one or more …"
VLDB,Efficient_Computation_of_Reverse_Skyline_Queries.,"E Dellis, B Seeger",2007,344,http://dbs.mathematik.uni-marburg.de/Publications/myPapers/2007/DS07.pdf,7753324347996753306,"In this paper, for the first time, we introduce the concept of Reverse Skyline Queries. At first, we consider for a multidimensional data set P the problem of dynamic skyline queries according to a query point q. This kind of dynamic skyline corresponds to the skyline of a …"
VLDB,Rainforest-a_framework_for_fast_decision_tree_construction_of_large_datasets,"J Gehrke, R Ramakrishnan, V Ganti",1998,360,http://www.dsi.unive.it/~dm/gehrke98rainforest.pdf,2645624839455201820,"Classification of large datasets is an important data mining problem. Many classification algorithms have been proposed in the literature, but studies have shown that so far no algorithm uniformly outperforms all other algorithms in terms of quality. In this paper, we …"
VLDB,Preferences;_Putting_More_Knowledge_into_Queries.,"M Lacroix, P Lavency",1987,329,http://vldb.org/conf/1987/P217.PDF,3843437852310558647,"Permission to copy without fee all or part of this material is granted provided that the copies are not made or distributed for direct commercial advantage, the VLDB copyright notice and the title of the publication and its date appear, and notice is given that copying is by …"
VLDB,Optimization_of_Nonrecursive_Queries.,"R Krishnamurthy, H Boral, C Zaniolo",1986,351,https://pdfs.semanticscholar.org/2a21/d8b106066c90c3a7c81e0a9b7a66c5c9a1a3.pdf,9361416547259119390,"State-of-the-art optimization approaches for relational database systems, eg, those used in systems such as OBE, SQL/DS, and commercial INGRES. when used for queries in non-traditional database applications, suffer from two problems. First, the time complexity of their …"
VLDB,Online_balancing_of_range-partitioned_data_with_applications_to_peer-to-peer_systems,"P Ganesan, M Bawa, H Garcia-Molina",2004,345,https://books.google.co.jp/books?hl=ja&lr=lang_ja|lang_en&id=R780l9ETyw8C&oi=fnd&pg=PA444&dq=source:VLDB&ots=XJC2O0ES1i&sig=Tr4mDc_Ja6_PkRDczkO4EMgi6Mo,13768212667454712855,"We consider the problem of horizontally partitioning a dynamic relation across a large number of disks/nodes by the use of range partitioning. Such partitioning is often desirable in large-scale parallel databases, as well as in peer-to-peer (P2P) systems. As tuples are …"
VLDB,Fast_computation_of_sparse_datacubes,"KA Ross, D Srivastava",1997,360,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.49.7859&rep=rep1&type=pdf,7932220144124280450,"Datacube queries compute aggregates over database relations at a variety of granularities, and they constitute an important class of decision support queries. Real-world data is frequently sparse, and hence e ciently computing datacubes over large sparse relations is …"
VLDB,W3qs:_A_query_system_for_the_world-wide_web,"D Konopnicki, O Shmueli",1995,492,http://www.vldb.org/conf/1995/P054.PDF,11906190939880071114,"Abstract The World-Wide Web (WWW) is an ever growing, distributed, non-administered, global information resource. It resides on the worldwide computer network and allows access to heterogeneous information: text, image, video, sound and graphic data. Currently …"
VLDB,Data_warehouse_configuration,"D Theodoratos, T Sellis",1997,331,http://www.dblab.ntua.gr/~dwq/vldb_dwq.pdf,3344970903904929933,"In the data warehousing approach to the integration of data from multiple information sources, selected information is extracted in advance and stored in a repository. A data warehouse (DW) can therefore be seen as a set of materialized views de ned over the …"
VLDB,Storage_and_querying_of_e-commerce_data,"R Agrawal, A Somani, Y Xu",2001,299,http://www.vldb.org/conf/2001/P149.pdf,8457995997384129446,New generation of e-commerce applications require data schemas that are constantly evolving and sparsely populated. The conventional horizontal row representation fails to meet these requirements. We represent objects in a vertical format storing an object as a set …
